Term,Frequency
في,542
من,328
على,272
إلى,230
أن,229
مع,78
عن,76
التي,74
ما,63
كما,60
خلال,54
أو,50
السعودية,49
هذه,47
مليار,43
نحو,43
عام,39
غير,39
العام,36
بين,35
بعد,34
الرئيس,34
الذي,34
هذا,33
المملكة,32
الحرب,30
المحلي,30
المالية,30
إذ,30
اليوم,28
لا,28
بما,28
بشكل,28
أنه,27
العامة,27
ريال,27
قد,26
الثلاثاء،,26
إن,26
إسرائيل,25
بنسبة,25
خطة,24
أمام,24
وقال,24
عبر,23
الناتج,23
برشلونة,23
ذلك,22
كل,22
الحكومة,21
كان,21
إجمالي,21
لكن,21
النفطية,20
استمرار,20
الربع,20
قطاع,20
ترامب,20
الحركة,19
حماس,19
الدول,19
فيما,18
وزارة,18
لم,18
دون,18
حتى,18
أكثر,18
سان,18
البيان,18
مثل,18
حيث,17
المالي,17
وفي,17
غزة،,17
قبل,17
مليون,17
-,17
الفلسطينية,17
بل,17
الأميركي,17
رئيس,17
عدد,16
دولار,16
دونالد,16
الإيرادات,16
وزير,16
الفريق,16
المتحدة,16
الأنشطة,16
الاقتصاد,15
تريليون,15
دولار،,15
هو,15
تلك,15
الإنفاق,15
أنها,15
جيرمان,15
حين,15
مقارنة,14
بلاده,14
الثاني,14
إلا,14
مما,14
بينما,14
بعض,14
الوزراء,14
القطاع,14
مستويات,14
ضمن,14
وأوضح,14
الفرنسي,13
أكد,13
الطاقة,13
الخارجية,13
وأكد,13
يبلغ,13
عدة,13
دولة,13
بنحو,13
بن,13
غزة.,13
أوضح,13
نموًا,13
الإجمالي,13
العربية,13
أبطال,13
الإسرائيلي,12
بعدما,12
زيادة,12
المتوقع,12
مصر,12
حال,12
والتي,12
السعودي,12
وهو,12
الاستدامة,12
بشأن,12
وأضاف,12
غزة,12
منذ,12
الماضي،,12
شركة,12
دول,12
أوروبا,12
الهيئة,12
الإسباني,12
أيام,12
النمو,12
4,12
للعام,11
الأمر,11
الاقتصادية,11
وفق,11
لاعب,11
2,11
صادرات,11
الشركة,11
لوكالة,11
الجوية,11
وكان,11
حول,11
مجلس,11
ذات,11
موافقة,11
جميع,11
المشاريع,10
كبيرة,10
تعزيز,10
عليها,10
فلسطين,10
سياسات,10
تنفيذ,10
مستوى,10
2030،,10
الوطنية,10
خدمات,10
يذكر,10
أي,10
الاجتماعي,10
رؤية,10
وتعزيز,10
التفاح,10
مساء,10
ذلك،,10
قال,10
الحقيقي,10
السابق,10
يوم,10
ريال،,10
البيت,10
إشارة,10
الأول,10
الطبيعي,10
الغاز,10
النادي,9
أعلنت,9
المحميات,9
ثم,9
وإعادة,9
تحقيق,9
يمكن,9
الإصدار,9
باريس,9
مشروع,9
نمو,9
مستهدفات,9
فإن,9
دعم,9
مالية,9
2026،,9
كانت,9
البيانات,9
الولايات,9
الدولي,9
الطلب,9
الأبيض,9
تحسين,9
التمهيدي,9
نتنياهو,9
محمد,9
لكنه,9
يجب,9
لها,9
الأمن,9
إنهاء,9
الأنباء,9
عند,9
وصولًا,8
المدى,8
مرة,8
تطبيق,8
للأنشطة,8
بالدولة,8
رقم,8
وتحقيق,8
النفقات,8
وأشار,8
ليس,8
عدم,8
جنوب,8
الاستثمار,8
الذكاء,8
فقط,8
ظل,8
المجلس,8
وذلك,8
ومن,8
2026م،,8
وما,8
القطاع،,8
أهداف,8
مقابل,8
يُتوقع,8
الثانية,8
إعادة,8
السياسات,8
أسهم,8
وكالة,8
التعاون,8
عمليات,8
أعلن,8
