Term,Frequency
في,20342
من,13697
على,9197
إلى,6896
أن,6255
مع,2970
التي,2860
عن,2849
ما,2435
هذه,1957
أو,1944
هذا,1848
لا,1833
الذي,1538
بعد,1536
خلال,1466
بين,1452
عام,1309
كما,1254
،,1123
غير,1090
حيث,1075
لم,1064
كان,1049
إن,971
أكثر,947
قد,923
ذلك,892
مثل,831
كانت,825
قبل,820
بشكل,795
عبر,735
منذ,728
المتحدة,711
أي,707
حتى,701
لكن,693
هو,673
أنه,665
نحو,660
كل,658
العام,656
الرئيس,636
مما,635
اليوم,626
مليون,593
بل,572
وفي,558
ذلك،,558
.,554
مليار,541
وقال,541
بما,534
وهو,531
يوم,527
حول,515
بعض,507
دون,490
ترامب,487
يمكن,482
الولايات,482
الحكومة,479
شركة,460
الذين,448
دولار,442
تم,442
بينما,439
رئيس,437
عندما,436
بنسبة,435
مجلس,433
إسرائيل,421
إذ,417
هي,413
عند,408
و,403
إلا,402
فإن,401
إذا,399
بسبب,399
الشركة,397
أنها,396
جميع,396
فيما,395
ألف,395
أيضًا,387
–,381
الذكاء,381
الأميركي,376
السعودية,371
عدد,371
قال,368
تلك,356
هناك,353
وفق,346
ومن,344
أمام,339
وهي,338
الاصطناعي,337
بأن,336
بشأن,335
ضد,334
فقط,334
الدول,334
العامة,333
العديد,327
الأول,324
العمل,321
الحرب,321
يكون,320
وقد,319
العالم,318
مستوى,317
أخرى,316
وفقًا,315
ولا,313
وقت,311
إدارة,310
الأميركية,305
داخل,303
جديدة,303
يتم,302
الطاقة,302
فقد,301
إعادة,300
أكبر,297
الوقت,297
الشركات,291
الصين,289
أحد,289
غزة,288
حين,286
ليس,286
وكالة,284
وأضاف,281
الماضي،,279
الأولى,276
—,273
أسعار,273
فيها,270
فيه,269
مدينة,268
قطاع,267
يجب,265
التواصل,262
عدم,260
الأمم,258
الماضي,256
وسائل,255
تحت,254
المملكة,254
دول,250
الآن,247
الاتحاد,247
شركات,246
ثم,245
إيران,244
تكون,242
الثاني,241
ومع,240
ضمن,238
أما,237
وزارة,234
الأمر,233
استخدام,232
أول,231
الدولية,231
بها,230
المالية,230
مجموعة,229
والتي,228
إنه,227
أجل,226
ذات,226
وزير,224
خاصة,224
الدولة,223
البلاد,222
منطقة,221
مقابل,219
السوق,218
حالة,217
ولكن,217
جانب,216
دولة,216
زيادة,215
عليها,214
الدولي,213
كبيرة,212
بالنسبة,212
رغم,211
وكان,211
المجتمع,211
وذلك,209
سنوات,209
الأمن,209
مشروع,208
حقوق,207
النساء,207
له,207
النفط,206
حوالي,206
فرض,205
منها,205
المتحدة،,205
لن,205
أقل,204
كبير,203
عملية,199
لها,199
مصر,198
إطلاق,197
دونالد,196
بيانات,196
الوزراء,194
2024،,193
“,193
لدى,193
عمليات,192
أثناء,191
البيانات,190
الاجتماعي,188
الإسرائيلي,187
الخارجية,187
كيف,186
تحقيق,186
الأسبوع,186
به,185
ارتفاع,184
القطاع,184
السلطات,184
2025،,183
نهاية,183
وسط,183
وجود,182
مرة,182
المنطقة,181
أدى,180
الجديدة,179
الوصول,179
مقارنة,179
عليه,179
آخر,178
نقطة,178
بيان,177
بحسب,177
يزال,177
ريال,176
نظام,176
العالمية,175
الوطنية,174
ظل,174
ولم,173
وأوضح,173
الناس,172
العقوبات,172
أعلنت,172
-,171
مجرد,171
النظام,170
أفضل,170
محمد,170
عمل,170
التعاون,168
تزال,168
المتوقع,167
الدعم,167
العربية,166
المركز,166
بحلول,166
وأشار,166
بدأت,166
وقالت,165
غالبًا,165
سعر,163
الرغم,163
جنوب,163
وعلى,163
القانون,162
دعم,162
بناء,162
