Term,Frequency
في,542
من,328
على,272
إلى,230
أن,229
مع,78
عن,76
التي,74
ما,63
كما,60
خلال,54
أو,50
السعودية,49
هذه,47
نحو,43
مليار,43
عام,39
غير,39
العام,36
بين,35
بعد,34
الرئيس,34
الذي,34
هذا,33
المملكة,32
إذ,30
الحرب,30
المحلي,30
المالية,30
بشكل,28
لا,28
اليوم,28
بما,28
أنه,27
العامة,27
ريال,27
قد,26
الثلاثاء،,26
إن,26
إسرائيل,25
بنسبة,25
خطة,24
وقال,24
أمام,24
برشلونة,23
الناتج,23
عبر,23
كل,22
ذلك,22
كان,21
الحكومة,21
لكن,21
إجمالي,21
قطاع,20
الربع,20
استمرار,20
النفطية,20
ترامب,20
حماس,19
الحركة,19
الدول,19
لم,18
دون,18
فيما,18
حتى,18
مثل,18
سان,18
أكثر,18
البيان,18
وزارة,18
مليون,17
وفي,17
الفلسطينية,17
غزة،,17
قبل,17
المالي,17
رئيس,17
حيث,17
بل,17
الأميركي,17
-,17
عدد,16
المتحدة,16
دولار,16
دونالد,16
الإيرادات,16
الأنشطة,16
وزير,16
الفريق,16
حين,15
الاقتصاد,15
تلك,15
هو,15
أنها,15
الإنفاق,15
تريليون,15
جيرمان,15
دولار،,15
الثاني,14
إلا,14
القطاع,14
الوزراء,14
ضمن,14
مما,14
وأوضح,14
بعض,14
مقارنة,14
مستويات,14
بلاده,14
بينما,14
الخارجية,13
نموًا,13
الفرنسي,13
يبلغ,13
الإجمالي,13
الطاقة,13
دولة,13
العربية,13
أكد,13
وأكد,13
غزة.,13
بن,13
أوضح,13
أبطال,13
عدة,13
بنحو,13
الاستدامة,12
بشأن,12
غزة,12
الهيئة,12
وأضاف,12
أوروبا,12
حال,12
مصر,12
زيادة,12
بعدما,12
دول,12
الماضي،,12
النمو,12
شركة,12
الإسباني,12
منذ,12
المتوقع,12
السعودي,12
الإسرائيلي,12
4,12
وهو,12
والتي,12
أيام,12
لوكالة,11
صادرات,11
الاقتصادية,11
وكان,11
2,11
لاعب,11
حول,11
وفق,11
ذات,11
الجوية,11
الأمر,11
الشركة,11
موافقة,11
مجلس,11
للعام,11
جميع,11
كبيرة,10
خدمات,10
التفاح,10
الغاز,10
إشارة,10
المشاريع,10
2030،,10
الطبيعي,10
أي,10
ريال،,10
الأول,10
قال,10
مستوى,10
وتعزيز,10
مساء,10
الاجتماعي,10
عليها,10
فلسطين,10
الوطنية,10
يذكر,10
تعزيز,10
الحقيقي,10
البيت,10
السابق,10
تنفيذ,10
رؤية,10
يوم,10
ذلك،,10
سياسات,10
الدولي,9
نمو,9
الإصدار,9
تحسين,9
تحقيق,9
مستهدفات,9
التمهيدي,9
كانت,9
الطلب,9
النادي,9
الولايات,9
لها,9
باريس,9
2026،,9
البيانات,9
أعلنت,9
المحميات,9
الأنباء,9
الأبيض,9
يمكن,9
عند,9
مشروع,9
يجب,9
الأمن,9
محمد,9
مالية,9
نتنياهو,9
ثم,9
دعم,9
وإعادة,9
فإن,9
لكنه,9
إنهاء,9
بالدولة,8
ليس,8
أسهم,8
للدورة,8
الافتراضي,8
الممارسات,8
فقط,8
أعلن,8
للأنشطة,8
جنوب,8
وتحقيق,8
وذلك,8
إعادة,8
التعاون,8
وأشار,8
وما,8
القطاع،,8
مرة,8
أهداف,8
الاستثمار,8
رقم,8
الخطة,8
ومن,8
فرض,8
عمليات,8
النفقات,8
وكالة,8
تطبيق,8
المدى,8
وصولًا,8
يُتوقع,8
الثانية,8
الأمم,8
المجلس,8
