Term,Frequency
في,19829
من,13297
على,9004
إلى,6772
أن,6191
مع,2898
عن,2785
التي,2779
ما,2397
هذه,1905
أو,1899
هذا,1807
لا,1803
بعد,1508
الذي,1496
خلال,1437
بين,1418
عام,1273
كما,1227
غير,1063
حيث,1054
،,1044
لم,1033
كان,1018
إن,961
أكثر,915
قد,911
ذلك,860
قبل,806
كانت,802
مثل,799
بشكل,779
عبر,728
المتحدة,709
منذ,708
أي,693
لكن,675
حتى,674
هو,658
نحو,656
أنه,655
العام,647
كل,634
الرئيس,630
اليوم,621
مما,617
مليون,569
بل,567
وفي,554
وقال,540
مليار,540
ذلك،,533
.,528
وهو,528
بما,526
يوم,523
حول,499
بعض,499
ترامب,487
دون,484
الولايات,480
يمكن,474
الحكومة,462
شركة,455
دولار,432
بنسبة,431
بينما,431
مجلس,428
الذين,427
رئيس,425
إذ,415
عندما,413
إسرائيل,412
تم,409
هي,407
عند,406
الشركة,394
فإن,393
أنها,392
فيما,392
إلا,392
جميع,388
بسبب,386
ألف,384
إذا,383
الذكاء,379
و,377
الأميركي,375
السعودية,371
أيضًا,365
عدد,360
قال,358
–,355
تلك,347
وفق,346
ومن,338
هناك,338
بأن,336
الدول,333
أمام,333
الاصطناعي,333
وهي,332
بشأن,331
العامة,326
فقط,323
ضد,319
وقد,318
العمل,317
الحرب,316
مستوى,314
يكون,314
الأول,312
العالم,311
العديد,310
ولا,307
أخرى,307
وقت,306
الأميركية,305
إدارة,303
جديدة,302
الطاقة,301
وفقًا,299
فقد,297
إعادة,295
داخل,295
الوقت,290
الصين,288
الشركات,288
أكبر,288
يتم,288
وكالة,284
أحد,282
وأضاف,281
حين,278
ليس,277
الماضي،,277
غزة,276
—,273
أسعار,272
الأولى,271
فيها,268
يجب,263
مدينة,263
فيه,262
عدم,259
قطاع,259
الأمم,258
الماضي,255
المملكة,254
دول,248
التواصل,248
شركات,244
الاتحاد,244
إيران,242
تحت,241
الآن,240
ومع,240
ثم,239
وسائل,238
ضمن,237
تكون,237
أما,233
الثاني,231
وزارة,231
الدولية,229
المالية,227
أول,227
الأمر,226
استخدام,226
ذات,225
والتي,224
إنه,223
بها,222
الدولة,221
وزير,221
مجموعة,220
خاصة,219
أجل,216
مقابل,216
البلاد,215
دولة,214
ولكن,213
السوق,213
منطقة,212
الدولي,211
جانب,211
زيادة,211
وكان,209
عليها,209
وذلك,208
سنوات,207
حالة,207
رغم,207
بالنسبة,207
المجتمع,206
النفط,205
كبيرة,205
المتحدة،,204
فرض,204
له,204
مشروع,204
لن,203
حقوق,202
حوالي,201
الأمن,201
منها,199
مصر,198
إطلاق,197
كبير,197
دونالد,196
أقل,195
عملية,193
لدى,193
لها,193
بيانات,192
الوزراء,191
البيانات,188
عمليات,187
الخارجية,187
2024،,187
“,186
النساء,186
الأسبوع,185
به,184
تحقيق,184
2025،,183
أثناء,182
ارتفاع,182
الاجتماعي,181
كيف,180
الإسرائيلي,180
مرة,180
السلطات,180
نهاية,179
القطاع,179
وجود,178
بيان,177
نقطة,177
المنطقة,177
الجديدة,176
يزال,175
آخر,175
مقارنة,174
أدى,174
وأوضح,173
العالمية,173
الوصول,173
نظام,173
العقوبات,172
الوطنية,172
وسط,172
ظل,171
أعلنت,171
-,171
ريال,170
عليه,170
أفضل,169
ولم,169
مجرد,168
بحسب,168
محمد,168
عمل,167
التعاون,166
النظام,166
وأشار,166
المركز,165
وقالت,164
تزال,164
المتوقع,164
بحلول,163
سعر,163
الدعم,163
غالبًا,163
العربية,162
